Project_ID,Company,Project_Title,NDA,IP,Hardware,Software,"Communication, Signal Processing, Networks and Systems",Electronics and Integrated Circuits,Energy Systems and Renewable Energy,"Fields, Waves and Electromagnetic Systems",Nanoelectronics and Nanotechnology,Computer Architecture and Embedded Systems,Data Science and Information Processing,Software Engineering and Design,internet of things (IOT),internet / connectivity,"battery chargers, power",Rust programming,C programming,computer-aided design (CAD),machine learning principles,robotics,mechatronics,"FreeRTOS, IWi-SUN, CoAP, and IPv6 multicast",algorithm design,system modeling,dynamics,UX flow,system modeling,control systems,hardware interfacing,FPGA,image processing,RF signal processing,sensor characterization,design of experiment,navigation algorithm,blockchain,5G Networks
I1,Comp1,Name1,0,1,2,5,1,5,1,2,1,3,1,1,2,3,1,4,5,1,4,1,1,3,5,2,1,4,3,3,5,4,4,5,5,2,4,5,3
I2,Comp2,Name2,0,0,4,4,4,5,2,3,1,5,5,5,5,1,2,5,4,2,5,3,5,4,5,3,2,4,5,2,3,4,3,1,5,3,2,3,4
I3,Comp3,Name3,0,0,3,4,3,5,5,4,1,2,5,2,4,4,3,5,4,5,2,5,2,3,4,2,3,5,5,3,4,5,4,4,5,1,4,4,5
I4,Comp4,Name4,1,0,5,2,3,1,2,4,2,1,1,4,4,4,5,5,2,4,4,3,2,5,2,5,3,1,5,4,4,3,2,5,2,1,5,3,4
I5,Comp2,Name5,1,0,2,5,3,5,4,2,2,5,4,2,3,2,1,5,5,5,5,1,3,5,5,2,2,3,1,3,3,2,5,2,4,2,4,1,1
I6,Comp5,Name6,1,0,2,3,3,2,1,2,2,3,3,5,4,3,1,2,1,3,4,1,4,1,2,3,2,3,1,1,2,1,2,1,1,1,1,5,5
I7,Comp3,Name7,1,1,2,2,4,4,4,1,2,3,1,5,2,4,4,5,5,1,5,1,4,1,2,3,5,3,1,2,3,1,4,3,4,5,1,1,2
I8,Comp6,Name8,1,1,2,2,4,1,1,3,1,2,4,3,4,2,1,4,1,5,5,2,4,5,3,5,5,4,5,4,4,3,2,3,5,2,3,5,4
I9,Comp2,Name9,1,1,1,5,2,1,3,2,2,3,5,1,2,5,1,3,1,3,2,5,1,4,4,5,2,3,2,1,3,2,3,5,4,4,2,2,2
I10,Comp7,Name10,0,0,5,4,3,4,3,5,5,5,2,5,3,2,5,2,4,2,1,4,1,4,5,1,2,1,2,3,3,1,2,2,4,4,5,5,3
I11,Comp8,Name11,0,1,4,1,4,5,4,4,1,4,3,5,4,4,2,1,2,1,5,4,1,4,1,3,1,4,5,2,2,2,1,5,5,2,2,5,3
I12,Comp7,Name12,0,0,4,3,3,1,1,5,3,5,1,3,3,5,4,5,3,1,5,2,2,5,3,3,4,5,2,5,1,2,2,4,1,1,2,3,3
I13,Comp3,Name13,1,1,5,4,3,2,1,2,3,1,5,1,5,2,3,3,4,3,5,1,5,3,1,1,4,3,4,1,4,5,1,4,2,3,2,4,5
I14,Comp1,Name14,1,0,3,2,5,3,1,4,2,4,5,5,3,1,2,4,1,2,3,1,4,1,4,3,3,2,1,2,5,3,1,3,5,4,5,4,1
I15,Comp9,Name15,1,1,2,1,1,3,2,4,3,1,2,3,1,2,2,2,1,1,4,2,1,3,4,5,5,3,4,5,2,2,4,3,1,3,4,1,2
I16,Comp3,Name16,0,1,4,1,4,5,1,3,2,5,5,4,1,2,2,2,3,3,1,3,5,2,5,5,3,2,4,2,3,2,2,5,3,1,4,4,3
I17,Comp2,Name17,1,0,1,3,2,3,1,3,3,3,2,1,1,2,3,2,5,3,4,4,2,5,2,5,2,2,4,1,4,5,1,4,5,1,1,3,4
I18,Comp4,Name18,0,1,1,2,5,2,1,4,5,1,1,1,3,2,5,1,5,5,1,3,1,5,4,4,5,5,1,5,5,1,2,5,2,5,1,4,3
I19,Comp8,Name19,1,1,4,1,3,1,1,3,4,1,3,2,2,5,3,1,5,5,5,3,3,2,1,1,2,4,2,2,4,5,3,5,5,2,2,4,4
I20,Comp3,Name20,1,0,5,2,3,2,3,2,5,3,3,5,2,2,3,4,4,5,4,1,4,5,4,5,5,3,3,3,5,3,4,4,3,5,5,2,1
FH8,Comp1,Name21,0,0,5,4,5,4,5,2,4,4,3,1,4,4,5,3,2,3,3,3,1,1,2,5,4,1,5,1,3,3,4,4,2,5,2,5,3
FH11,Comp3,Name22,1,0,3,2,2,1,3,3,4,5,3,1,3,1,2,4,4,2,5,2,1,1,4,3,3,1,2,3,2,3,1,4,3,5,5,4,5
FH13,Comp2,Name23,1,1,4,4,5,1,5,5,1,1,5,1,2,1,2,2,5,5,5,5,2,3,5,5,1,1,5,1,1,1,3,3,4,1,5,3,4
FH14,Comp4,Name24,0,0,2,1,4,4,2,2,3,3,1,4,2,4,1,3,4,5,3,4,3,5,4,4,2,5,1,1,5,5,4,2,1,2,4,1,5
FH18,Comp5,Name25,1,1,1,4,4,5,2,1,4,3,3,3,1,3,2,3,1,4,1,2,1,4,5,2,5,2,3,5,2,1,1,2,2,4,5,1,1
IH3,Comp3,Name26,1,0,1,3,4,2,5,1,2,5,3,2,2,1,4,1,2,2,3,1,5,4,1,2,5,1,4,2,4,5,3,5,1,5,4,4,3
