Project,Company,NDA,IP,Hardware,Software,"Communication, Signal Processing, Networks and Systems",Electronics and Integrated Circuits,Energy Systems and Renewable Energy,"Fields, Waves and Electromagnetic Systems",Nanoelectronics and Nanotechnology,Computer Architecture and Embedded Systems,Data Science and Information Processing,Software Engineering and Design,internet of things (IOT),internet / connectivity,"battery chargers, power",Rust programming,C programming,computer-aided design (CAD),machine learning principles,robotics,mechatronics," FreeRTOS, IWi-SUN, CoAP, and IPv6 multicast",algorithm design,dynamics,UX flow,system modeling,control systems,hardware interfacing,FPGA,image processing,RF signal processing,sensor characterization,design of experiment,navigation algorithm,blockchain,5G Networks
I1,Comp1,1,1,0,5,,1,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
I2,Comp2,0,0,0,5,1,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,
I3,Comp3,0,0,3,3,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,
I4,Comp4,1,0,2,4,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,
I5,Comp2,1,0,3,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
I6,Comp5,1,0,0,5,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,
I7,Comp3,1,1,0,5,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,
I8,Comp6,1,1,0,5,,,,,,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,
I9,Comp2,1,1,4,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
I10,Comp7,0,0,3,3,,1,1,,,1,,1,,,,,,1,,,1,,,,,,,,,,,,,,,
I11,Comp8,0,1,0,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
I12,Comp7,0,0,3,3,,1,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,
I13,Comp3,1,1,2,4,,1,,,,1,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,
I14,Comp1,1,0,2,4,,1,,,,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,
I15,Comp9,1,1,3,3,,1,,,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,
I16,Comp3,0,1,4,2,,1,,,,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,
I17,Comp2,1,0,4,2,,1,1,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,
I18,Comp4,0,1,3,3,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
I19,Comp8,1,1,2,4,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1
I20,Comp3,1,0,5,2,,,,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,
FH8,Comp1,0,0,5,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FH11,Comp3,1,0,3,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
FH13,Comp2,1,1,4,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FH14,Comp4,0,0,2,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
FH18,Comp5,1,1,1,4,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
IH3,Comp3,1,0,1,3,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
